PhraseId,Sentiment
49466,2
64848,1
47201,2
11322,2
118344,3
118744,2
104308,2
128977,2
108546,2
108475,2
6661,2
137634,2
65518,2
83974,2
32313,2
35074,2
5853,2
33505,2
50456,2
115478,2
14950,2
71847,2
24134,2
12616,2
97782,2
25931,2
88113,2
50199,2
31116,2
83837,2
112467,2
64977,2
64922,2
62827,2
17972,2
140051,2
72026,2
116564,2
78593,2
13625,2
83306,2
60987,2
92823,2
147934,3
125818,2
87718,2
43627,2
119113,2
48123,2
115516,2
59749,2
18025,3
85244,2
24258,2
25502,2
69339,2
116132,3
144617,2
139399,2
13275,2
29314,2
141105,2
96946,2
44971,2
100316,2
753,3
73907,2
151409,2
92235,2
119618,2
120390,2
108772,2
133436,2
143379,2
121352,2
66238,2
100753,2
14741,2
130123,2
94654,2
44586,2
21112,2
60397,2
145226,2
136828,0
152320,2
102092,2
113102,2
70016,2
140812,2
142009,2
90818,2
84850,1
110798,2
36842,2
93758,2
20966,3
134938,2
3078,2
46817,2
64670,2
119322,2
79574,2
47415,2
46303,2
94289,2
26092,1
104432,2
128148,2
144314,2
74319,2
70415,2
61009,2
17824,2
5347,2
36468,2
135718,2
58666,2
113082,3
15832,2
97604,2
120035,2
134239,2
129096,2
74925,2
100985,2
26392,2
93822,0
117004,2
21274,2
151577,3
26956,2
40464,2
138648,2
71311,2
39446,2
73714,2
65788,2
78474,2
140073,3
133871,2
58731,2
2622,2
23026,2
152964,2
153154,2
1091,2
140372,2
15210,2
101515,2
2889,2
152814,2
67836,2
146661,2
154385,2
1973,2
113037,2
116240,2
62505,2
116822,2
106843,2
149949,2
129422,2
110975,2
49221,3
100881,2
73730,2
76102,2
91577,2
52208,2
38031,2
116188,2
126062,2
112411,2
56845,2
2228,2
113705,2
142989,2
80144,2
90261,2
17439,2
112907,2
37087,2
146723,2
138923,3
148463,2
133804,2
60094,2
138619,2
148564,2
89159,2
85955,2
153035,0
14532,2
10514,1
395,2
68729,2
81557,2
80951,2
115511,2
126213,2
22649,2
89227,2
85589,2
30669,2
81981,2
41039,2
59107,2
107535,2
16599,3
59760,2
23298,2
15538,2
12978,2
1923,2
57381,2
134048,2
122155,2
52275,2
17995,2
146533,2
146243,2
82141,2
62664,2
23137,2
44692,2
8741,2
92737,2
15531,2
99142,2
108734,1
70829,2
142574,2
94495,2
129385,2
114991,2
76379,2
103970,2
118139,2
85246,2
125798,2
55057,2
73946,2
35751,2
7533,2
28876,2
120188,1
131389,2
111,2
24801,2
42039,2
47143,2
36631,2
96118,2
97645,2
99594,2
40490,2
7216,2
60964,2
94929,2
128700,2
111156,2
149285,2
100576,2
104547,2
26913,2
144480,2
155971,2
54806,2
52537,2
51566,2
43862,2
141738,2
120525,2
111434,2
102398,2
23827,2
12476,2
46943,2
44822,2
80128,2
155568,2
66927,2
89581,2
150396,1
67895,2
14222,2
121235,2
71887,2
32199,2
132792,2
67199,2
60622,2
95494,2
87734,2
114948,2
109920,2
21189,2
144407,2
89139,2
15743,2
73769,2
79956,2
22814,2
145807,2
99539,2
43105,2
129028,2
2074,2
97852,2
34617,2
23306,2
58992,2
107995,2
97326,2
153749,2
26872,2
39282,2
133578,2
106790,2
156039,2
143199,2
99316,2
89232,2
1650,0
138408,2
87791,2
90012,2
118887,2
9398,2
35833,2
120140,2
118540,2
6466,2
18844,2
126364,2
30827,2
75646,2
24691,3
89523,2
112758,2
139465,4
148600,2
48200,2
11977,3
110255,2
33032,2
3557,2
48174,2
136121,2
4155,2
152697,2
118111,2
5882,2
147924,2
154638,2
152979,2
155095,3
63774,2
103912,2
154656,2
95036,2
20585,2
138723,2
1802,2
130840,2
10419,2
87727,2
54165,2
95687,2
86354,2
18186,2
69816,2
78136,2
71859,2
27921,2
35729,2
144842,2
3762,2
113738,2
33804,2
126124,2
13042,2
69830,2
65119,2
134020,2
80324,2
41442,2
111213,2
35611,2
87488,2
154343,2
134521,2
144827,2
101035,2
114193,2
19484,2
677,2
107132,2
27390,2
39931,2
128289,2
13722,2
111088,2
16254,2
133065,2
69541,2
15563,2
34039,2
117197,2
127610,2
64626,2
74696,2
60958,2
79939,2
144436,2
30862,2
105001,2
95862,2
107673,2
103660,2
127171,2
131954,2
48739,2
17461,2
41484,2
116993,2
71379,2
88940,3
4819,2
127430,1
36365,2
50161,2
82530,2
148865,2
102285,2
131254,2
151378,1
44749,2
100518,2
100029,2
69675,2
154813,2
136638,2
22984,2
120659,2
71376,2
39993,2
55107,1
146822,2
116031,2
94731,2
120001,2
57112,2
96036,2
5242,2
120029,2
66228,2
106715,2
95963,2
134530,2
60712,2
126029,2
144261,2
11072,2
17090,2
152050,2
88995,2
154682,2
50573,2
103085,2
28050,2
134000,2
147835,2
7787,2
5182,2
97265,1
14060,2
23274,2
90839,2
15938,2
77538,2
121330,2
152913,2
66482,2
26550,2
129731,2
62858,2
65695,2
98115,2
4904,2
11061,2
33238,2
131474,2
17900,2
127400,2
129543,2
102612,2
25768,3
41320,2
149796,2
39504,2
152231,2
8789,2
141686,2
109178,2
66912,2
30693,2
147498,2
76735,2
135955,2
146132,2
6579,2
1172,2
39038,2
127272,2
123497,2
142036,2
133453,2
114104,2
71002,2
107430,2
21836,2
60465,0
47216,2
68015,2
78982,2
139642,2
107622,2
144556,2
39892,2
79474,2
81947,2
115063,2
12593,1
141514,3
129152,2
111597,2
95588,2
115216,2
135479,2
129875,2
87889,2
48764,2
148000,2
106132,2
44278,2
67109,2
30811,2
47397,2
119973,2
95913,2
19728,2
95384,2
58768,2
150890,2
118653,2
131886,2
33990,2
110150,2
121049,3
152160,2
118765,2
118806,2
118946,2
20285,2
66479,2
72977,2
86721,2
53553,2
134150,2
63303,2
138633,2
146280,2
117321,2
96265,2
38348,2
72294,2
29529,2
115757,2
87444,2
99366,2
16923,3
93437,2
29420,2
82011,2
54480,2
17724,2
148866,1
42020,2
62301,2
88454,2
36221,2
44887,2
45036,2
88090,2
108023,2
86946,2
118965,2
80308,2
16275,2
44130,2
23374,2
46289,1
39747,2
144153,2
27270,2
4919,2
128043,2
127902,2
145267,2
49683,2
20095,2
85074,2
67815,2
131740,2
36279,2
5492,2
52125,1
79812,2
9688,2
48669,2
145073,2
102166,2
115962,2
93904,2
13146,2
65819,2
101787,2
13671,1
17920,2
140620,2
34339,2
108113,2
127850,2
66867,2
43030,3
50348,2
92703,2
98669,2
144100,2
85253,2
147159,2
2114,2
31401,2
104130,2
40723,2
54488,1
81072,2
136535,2
52568,2
116765,2
143827,2
113541,2
102415,2
107729,2
147208,2
59145,2
151471,2
143381,2
85009,3
36165,2
30229,2
6242,2
66947,2
62542,2
44556,2
131487,2
133030,2
155873,2
145079,3
73243,2
134723,2
110484,2
42886,2
25720,2
47785,2
51683,2
109683,2
78672,2
138679,2
83121,3
118216,2
93422,2
130711,2
43649,2
60460,2
56429,2
1955,2
96389,2
118915,2
69647,2
19382,2
119176,2
85907,2
68322,2
12648,2
142937,2
103495,2
101889,2
95059,2
63549,2
131103,2
152175,2
27478,2
140225,2
51035,2
86845,2
84217,2
120351,2
113336,2
85647,2
58241,2
122956,2
127702,2
64426,2
99362,2
37391,2
141994,2
107520,2
53838,2
15544,1
55538,2
104973,2
23948,1
98548,2
146960,2
140305,2
147514,2
67180,1
7106,2
25017,1
141231,2
122697,2
148859,2
133854,2
34444,2
71051,2
118630,2
134983,2
100560,2
52589,2
112405,0
125555,2
98891,1
129248,2
151083,2
109517,2
70535,2
109084,3
123444,2
77591,2
62402,2
25739,2
86280,2
128640,2
63031,2
44299,2
120799,2
80519,2
144893,2
137414,2
139042,2
35101,1
60853,2
35804,2
104017,2
73008,2
39364,2
117825,2
48702,2
77977,2
132508,2
79034,1
111226,2
102236,2
8552,2
71288,2
50980,2
87672,2
132994,2
24829,2
24404,2
155393,2
100346,3
69787,2
142764,2
92130,2
98508,2
70896,2
25254,2
153269,2
25670,2
126354,2
66751,2
26482,2
37411,2
144175,2
74325,1
127073,2
133106,2
105603,2
52139,2
12766,2
31600,1
21291,2
34954,2
151554,1
56584,2
13766,2
30564,2
91204,2
66028,2
43215,2
60603,2
121383,2
106542,2
70813,2
11845,2
101760,0
19285,2
114401,2
57191,2
146004,2
19549,2
8416,2
5673,2
120883,2
67023,2
12275,2
2123,2
59590,2
39426,2
138883,2
126832,2
14005,2
115710,2
92980,2
45682,2
95554,2
85112,2
142176,2
49764,2
70166,2
142762,2
40351,2
132878,2
120679,2
135276,2
136540,2
47086,2
5706,2
